Country,Average temperature per year,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths
Chile,9,18054726,9134970.0,134863444.0,3492618.0,746.97,19.34
Luxembourg,9,599449,2091454.0,6417648.0,77505.0,1070.59,12.93
Slovakia,9,5439892,14276614.0,22871690.0,338538.0,420.44,6.22
Belarus,8,9507875,474181.0,34859695.0,273249.0,366.64,2.87
Switzerland,8,8466017,4305542.0,59442978.0,1247537.0,702.14,14.74
Denmark,8,5769603,16320730.0,20852621.0,294750.0,361.42,5.11
Austria,8,8809212,14269635.0,46441969.0,803908.0,527.2,9.13
Kazakhstan,8,18037646,7368312.0,39455084.0,516635.0,218.74,2.86
United Kingdom,8,66022273,83348027.0,389051873.0,17499686.0,589.27,26.51
Lithuania,7,2827721,2090256.0,15363379.0,218817.0,543.31,7.74
Latvia,7,1940740,1430983.0,5349307.0,92088.0,275.63,4.74
Estonia,6,1315480,919012.0,3981098.0,44904.0,302.63,3.41
Finland,4,5511303,3270457.0,5897860.0,127976.0,107.01,2.32
Sweden,4,10067744,5566533.0,63050612.0,2101631.0,626.26,20.87
Mongolia,2,3075647,1609563.0,206582.0,115.0,6.72,0.0
Iceland,2,341284,277025.0,1160381.0,5377.0,340.0,1.58
Norway,1,5282223,3800657.0,8088434.0,104972.0,153.13,1.99
Canada,-1,36708083,17386997.0,93216440.0,3568237.0,253.94,9.72
Russia,-2,144495044,103171283.0,515239094.0,9151443.0,356.58,6.33
