Country,GDP/Capita,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths
Estonia,23723.3,1315480,919012.0,3981098.0,44904.0,302.63,3.41
Bahrain,23504.0,1492584,2572783.0,19117446.0,69819.0,1280.83,4.68
Portugal,23252.1,10293718,8139165.0,67411309.0,1318554.0,654.88,12.81
Saudi Arabia,23139.8,32938213,13554439.0,86586946.0,1245563.0,262.88,3.78
Lithuania,19601.9,2827721,2090256.0,15363379.0,218817.0,543.31,7.74
Greece,19582.5,10760421,4664086.0,17407983.0,548259.0,161.78,5.1
Slovakia,19266.3,5439892,14276614.0,22871690.0,338538.0,420.44,6.22
Latvia,17828.9,1940740,1430983.0,5349307.0,92088.0,275.63,4.74
Trinidad and Tobago,17398.0,1369125,92183.0,1138218.0,20979.0,83.13,1.53
Hungary,16731.8,9781127,3154062.0,37309841.0,1184202.0,381.45,12.11
Uruguay,16190.1,3456750,804508.0,3106163.0,36814.0,89.86,1.06
Panama,15731.0,4098587,1881379.0,41091974.0,754355.0,1002.59,18.41
Poland,15692.5,37975841,9109348.0,158510849.0,3584122.0,417.4,9.44
Oman,15343.1,4636262,200640.0,26984683.0,264562.0,582.04,5.71
Croatia,14936.1,4125700,1236366.0,23500740.0,446831.0,569.62,10.83
Chile,14896.5,18054726,9134970.0,134863444.0,3492618.0,746.97,19.34
Romania,12919.5,19586539,4732128.0,84503959.0,2322896.0,431.44,11.86
Costa Rica,12243.8,4905769,561653.0,25784581.0,325780.0,525.6,6.64
Russia,11585.0,144495044,103171283.0,515239094.0,9151443.0,356.58,6.33
Malaysia,11414.2,31624264,5931601.0,18580121.0,95130.0,58.75,0.3
Mexico,9946.0,129163276,4947309.0,255352556.0,24247963.0,197.7,18.77
Argentina,9912.3,44271041,6094735.0,260382731.0,6622663.0,588.16,14.96
Bulgaria,9828.1,7075991,1422194.0,24138615.0,879686.0,341.13,12.43
Kazakhstan,9812.4,18037646,7368312.0,39455084.0,516635.0,218.74,2.86
Turkey,9126.6,80745020,32770984.0,256703369.0,3568042.0,317.92,4.42
Cuba,8821.8,11484636,2337041.0,2843541.0,39486.0,24.76,0.34
Dominican Republic,8282.1,10766998,634342.0,33522136.0,539059.0,311.34,5.01
Thailand,7806.7,69037513,2681565.0,2034146.0,20002.0,2.95,0.03
