Country,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths,Percent Tests
Chile,18054726,9134970.0,134863444.0,3492618.0,746.97,19.34,50.6
Romania,19586539,4732128.0,84503959.0,2322896.0,431.44,11.86,24.16
Costa Rica,4905769,561653.0,25784581.0,325780.0,525.6,6.64,11.45
Russia,144495044,103171283.0,515239094.0,9151443.0,356.58,6.33,71.4
Malaysia,31624264,5931601.0,18580121.0,95130.0,58.75,0.3,18.76
Mexico,129163276,4947309.0,255352556.0,24247963.0,197.7,18.77,3.83
Argentina,44271041,6094735.0,260382731.0,6622663.0,588.16,14.96,13.77
Bulgaria,7075991,1422194.0,24138615.0,879686.0,341.13,12.43,20.1
Kazakhstan,18037646,7368312.0,39455084.0,516635.0,218.74,2.86,40.85
Turkey,80745020,32770984.0,256703369.0,3568042.0,317.92,4.42,40.59
Cuba,11484636,2337041.0,2843541.0,39486.0,24.76,0.34,20.35
Dominican Republic,10766998,634342.0,33522136.0,539059.0,311.34,5.01,5.89
Thailand,69037513,2681565.0,2034146.0,20002.0,2.95,0.03,3.88
Libya,6374616,590269.0,14544121.0,220601.0,228.16,3.46,9.26
Serbia,7022268,2888343.0,39245041.0,440026.0,558.87,6.27,41.13
Peru,32165485,2630719.0,211998467.0,8073150.0,659.09,25.1,8.18
Belarus,9507875,474181.0,34859695.0,273249.0,366.64,2.87,4.99
Colombia,49065615,10939036.0,275073370.0,7695136.0,560.62,15.68,22.29
Ecuador,16624858,912262.0,42843518.0,2937940.0,257.71,17.67,5.49
Fiji,905502,23998.0,10886.0,399.0,1.2,0.04,2.65
Bosnia and Herzegovina,3507017,444682.0,15217043.0,525200.0,433.9,14.98,12.68
South Africa,56717156,8870526.0,204748091.0,5441016.0,361.0,9.59,15.64
Iraq,38274618,5111254.0,101678063.0,2393726.0,265.65,6.25,13.35
Jamaica,2890299,130117.0,2130134.0,44318.0,73.7,1.53,4.5
Iran,81162788,5098063.0,201640185.0,9632423.0,248.44,11.87,6.28
Paraguay,6811297,740683.0,16012701.0,329837.0,235.09,4.84,10.87
Albania,2873457,432998.0,8426482.0,171892.0,293.25,5.98,15.07
Namibia,2533794,286580.0,3750338.0,37437.0,148.01,1.48,11.31
Armenia,2930450,99658.0,24370297.0,428678.0,831.62,14.63,3.4
Guatemala,16913503,870737.0,25790619.0,919247.0,152.49,5.43,5.15
Jordan,9702353,2649644.0,33653341.0,425694.0,346.86,4.39,27.31
Mongolia,3075647,1609563.0,206582.0,115.0,6.72,0.0,52.33
El Salvador,6377853,496946.0,8580384.0,247813.0,134.53,3.89,7.79
Indonesia,263991379,5688602.0,122650013.0,3881232.0,46.46,1.47,2.15
Algeria,41318142,3100.0,16892357.0,547843.0,40.88,1.33,0.01
Sri Lanka,21444000,2079872.0,5877733.0,28446.0,27.41,0.13,9.7
Ukraine,44831159,4756558.0,140631503.0,2630449.0,313.69,5.87,10.61
Cape Verde,546388,98345.0,2033114.0,20055.0,372.1,3.67,18.0
Bolivia,11051600,682841.0,35010589.0,1846929.0,316.79,16.71,6.18
Philippines,104918090,8162079.0,84405264.0,1678408.0,80.45,1.6,7.78
Tunisia,11532127,191695.0,19340599.0,611149.0,167.71,5.3,1.66
Bhutan,807610,508007.0,102917.0,52.0,12.74,0.01,62.9
Morocco,35739580,5040339.0,59310132.0,1021470.0,165.95,2.86,14.1
Vietnam,95540800,333691.0,329208.0,6973.0,0.34,0.01,0.35
Nigeria,190886311,702055.0,18705705.0,306223.0,9.8,0.16,0.37
Ghana,28833629,716169.0,12607976.0,78701.0,43.73,0.27,2.48
India,1339180127,204644073.0,1717153550.0,26247654.0,128.22,1.96,15.28
Bangladesh,164669751,4000307.0,100266545.0,1444745.0,60.89,0.88,2.43
Kenya,49699862,571950.0,14837701.0,262445.0,29.85,0.53,1.15
Mauritania,4420184,23429.0,2471645.0,59254.0,55.92,1.34,0.53
Zimbabwe,16529904,367631.0,3107748.0,98448.0,18.8,0.6,2.22
Senegal,15850567,391577.0,4373415.0,92481.0,27.59,0.58,2.47
Myanmar,53370609,2407793.0,14882072.0,328486.0,27.88,0.62,4.51
Zambia,17094130,1044305.0,5469924.0,96458.0,32.0,0.56,6.11
Pakistan,197015955,8464881.0,98566129.0,2066115.0,50.03,1.05,4.3
Nepal,29304998,2118272.0,37146699.0,250296.0,126.76,0.85,7.23
Ethiopia,104957438,2113808.0,21025388.0,325103.0,20.03,0.31,2.01
Rwanda,12208407,790831.0,1670281.0,16394.0,13.68,0.13,6.48
Uganda,42862958,544668.0,4270321.0,35405.0,9.96,0.08,1.27
Togo,7797694,233786.0,680544.0,13285.0,8.73,0.17,3.0
Madagascar,25570895,28934.0,3835585.0,52816.0,15.0,0.21,0.11
Mozambique,29668834,407114.0,3868782.0,34858.0,13.04,0.12,1.37
Malawi,18622104,57004.0,2206727.0,66149.0,11.85,0.36,0.31
